cell_a,cell_b,weight,len
140,662,0.6,85.8160514187508
141,162,1.0,80.1206846761906
141,172,1.0,54.52944917743734
141,314,0.6,77.39655690434053
141,605,0.6,71.25444318506379
141,631,0.6,81.49013327270033
142,144,1.0,53.63037481793748
142,149,1.0,61.9502833917424
142,659,0.6,93.06564613928187
142,663,0.6,66.91856840294221
143,538,0.6,86.89878502071274
144,627,0.6,81.68598003661134
144,659,0.6,77.2661125367999
145,157,1.0,101.29806300267674
145,173,1.0,84.50153595861048
145,225,1.0,68.38526478903059
146,229,1.0,68.83291346353066
146,244,1.0,60.94398402846143
146,564,0.6,66.02600140149111
147,160,1.0,50.55868294530444
147,263,0.6,76.49156170067884
147,594,0.6,51.38720727989591
148,169,1.0,93.76782077830109
148,616,0.6,84.51497697956668
148,654,0.6,71.90252879222852
149,175,1.0,55.11435763313404
150,176,1.0,47.71007327991805
150,195,1.0,72.05500673328294
150,239,1.0,62.7305506005144
150,276,0.6,85.605150965887
150,552,0.6,60.40499814041495
152,555,0.6,47.62283897566338
153,186,1.0,76.17010509728152
153,211,1.0,94.92928339505903
154,164,1.0,57.3948520141144
154,167,1.0,67.5238554419762
154,520,0.6,99.06454551929387
155,167,1.0,65.22044671978365
155,185,1.0,92.73840941237184
155,350,0.6,79.33457844997795
155,366,0.6,60.37768445297784
157,225,1.0,48.32028701837128
157,261,0.6,77.28154368427177
157,442,0.6,76.02312793075708
158,163,1.0,53.44450795159978
158,231,0.6,56.93536219828882
158,277,0.6,63.386556927214144
159,285,1.0,82.61264495308404
159,287,0.6,46.58813051181197
159,348,0.6,87.18124733420015
161,170,1.0,53.64723282417683
161,206,1.0,54.15798682291311
161,235,1.0,82.26909125578909
161,434,0.6,92.72218284557077
161,610,0.6,96.21378677805507
162,274,0.6,47.538368219457304
162,631,0.6,55.59421008462209
163,217,1.0,64.60802837959434
164,213,1.0,89.65937093152564
164,230,1.0,88.59898763947038
165,192,1.0,83.93976422578041
165,209,1.0,50.64690925328854
165,273,0.6,54.120685596372766
165,354,0.6,61.67360981196972
165,380,0.6,56.04760883146597
165,404,0.6,70.67607436137571
166,168,1.0,64.19894867169505
166,233,1.0,80.08970769726923
166,241,1.0,55.199772568951374
168,223,1.0,94.59293508422239
168,233,1.0,97.55875061322948
168,255,0.6,75.97815079267646
168,258,0.6,81.37473933163324
168,513,0.6,63.322300278805166
